words,index,linuxWord,correctPOS,badClue
media,494,TRUE,TRUE,FALSE
different,495,TRUE,TRUE,FALSE
issue,496,TRUE,TRUE,FALSE
received,497,TRUE,TRUE,FALSE
secretary,498,TRUE,TRUE,FALSE
return,499,TRUE,TRUE,FALSE
college,500,TRUE,TRUE,FALSE
working,501,TRUE,TRUE,FALSE
community,502,TRUE,TRUE,FALSE
groups,504,TRUE,TRUE,FALSE
level,506,TRUE,TRUE,FALSE
largest,507,TRUE,TRUE,FALSE
attacks,509,TRUE,TRUE,FALSE
change,512,TRUE,TRUE,FALSE
church,513,TRUE,TRUE,FALSE
nation,514,TRUE,TRUE,FALSE
station,516,TRUE,TRUE,FALSE
research,521,TRUE,TRUE,FALSE
black,522,TRUE,TRUE,FALSE
services,523,TRUE,TRUE,FALSE
story,524,TRUE,TRUE,FALSE
sales,527,TRUE,TRUE,FALSE
policy,528,TRUE,TRUE,FALSE
visit,529,TRUE,TRUE,FALSE
northern,530,TRUE,TRUE,FALSE
lot,531,TRUE,TRUE,FALSE
current,534,TRUE,TRUE,FALSE
board,535,TRUE,TRUE,FALSE
football,536,TRUE,TRUE,FALSE
ministry,537,TRUE,TRUE,FALSE
workers,538,TRUE,TRUE,FALSE
vote,539,TRUE,TRUE,FALSE
book,540,TRUE,TRUE,FALSE
fell,541,TRUE,TRUE,FALSE
seen,542,TRUE,TRUE,FALSE
role,543,TRUE,TRUE,FALSE
students,544,TRUE,TRUE,FALSE
shares,545,TRUE,TRUE,FALSE
process,547,TRUE,TRUE,FALSE
agreement,548,TRUE,TRUE,FALSE
quarter,549,TRUE,TRUE,FALSE
full,550,TRUE,TRUE,FALSE
match,551,TRUE,TRUE,FALSE
started,552,TRUE,TRUE,FALSE
growth,553,TRUE,TRUE,FALSE
moved,555,TRUE,TRUE,FALSE
possible,556,TRUE,TRUE,FALSE
western,557,TRUE,TRUE,FALSE
special,558,TRUE,TRUE,FALSE
plans,560,TRUE,TRUE,FALSE
interest,561,TRUE,TRUE,FALSE
strong,563,TRUE,TRUE,FALSE
named,565,TRUE,TRUE,FALSE
food,566,TRUE,TRUE,FALSE
period,567,TRUE,TRUE,FALSE
real,568,TRUE,TRUE,FALSE
authorities,569,TRUE,TRUE,FALSE
car,570,TRUE,TRUE,FALSE
term,571,TRUE,TRUE,FALSE
rate,572,TRUE,TRUE,FALSE
race,573,TRUE,TRUE,FALSE
site,577,TRUE,TRUE,FALSE
opposition,578,TRUE,TRUE,FALSE
keep,579,TRUE,TRUE,FALSE
call,581,TRUE,TRUE,FALSE
future,582,TRUE,TRUE,FALSE
taking,583,TRUE,TRUE,FALSE
island,584,TRUE,TRUE,FALSE
road,587,TRUE,TRUE,FALSE
century,590,TRUE,TRUE,FALSE
democratic,591,TRUE,TRUE,FALSE
single,593,TRUE,TRUE,FALSE
share,594,TRUE,TRUE,FALSE
leading,595,TRUE,TRUE,FALSE
trying,596,TRUE,TRUE,FALSE
find,597,TRUE,TRUE,FALSE
album,598,TRUE,TRUE,FALSE
senior,599,TRUE,TRUE,FALSE
minutes,600,TRUE,TRUE,FALSE
congress,602,TRUE,TRUE,FALSE
index,603,TRUE,TRUE,FALSE
results,605,TRUE,TRUE,FALSE
hard,606,TRUE,TRUE,FALSE
hours,607,TRUE,TRUE,FALSE
land,608,TRUE,TRUE,FALSE
action,609,TRUE,TRUE,FALSE
higher,610,TRUE,TRUE,FALSE
field,611,TRUE,TRUE,FALSE
cut,612,TRUE,TRUE,FALSE
coach,613,TRUE,TRUE,FALSE
elections,614,TRUE,TRUE,FALSE
issues,616,TRUE,TRUE,FALSE
executive,617,TRUE,TRUE,FALSE
production,619,TRUE,TRUE,FALSE
areas,620,TRUE,TRUE,FALSE
river,621,TRUE,TRUE,FALSE
face,622,TRUE,TRUE,FALSE
using,623,TRUE,TRUE,FALSE
province,625,TRUE,TRUE,FALSE
park,626,TRUE,TRUE,FALSE
price,627,TRUE,TRUE,FALSE
commission,628,TRUE,TRUE,FALSE
father,630,TRUE,TRUE,FALSE
son,631,TRUE,TRUE,FALSE
education,632,TRUE,TRUE,FALSE
village,634,TRUE,TRUE,FALSE
energy,635,TRUE,TRUE,FALSE
shot,636,TRUE,TRUE,FALSE
short,637,TRUE,TRUE,FALSE
key,639,TRUE,TRUE,FALSE
red,640,TRUE,TRUE,FALSE
association,641,TRUE,TRUE,FALSE
average,642,TRUE,TRUE,FALSE
pay,643,TRUE,TRUE,FALSE
exchange,644,TRUE,TRUE,FALSE
gave,647,TRUE,TRUE,FALSE
likely,648,TRUE,TRUE,FALSE
player,649,TRUE,TRUE,FALSE
victory,652,TRUE,TRUE,FALSE
low,654,TRUE,TRUE,FALSE
things,655,TRUE,TRUE,FALSE
social,660,TRUE,TRUE,FALSE
continue,661,TRUE,TRUE,FALSE
look,663,TRUE,TRUE,FALSE
chairman,664,TRUE,TRUE,FALSE
job,665,TRUE,TRUE,FALSE
soldiers,667,TRUE,TRUE,FALSE
able,668,TRUE,TRUE,FALSE
parliament,669,TRUE,TRUE,FALSE
front,670,TRUE,TRUE,FALSE
problems,672,TRUE,TRUE,FALSE
lower,674,TRUE,TRUE,FALSE
list,675,TRUE,TRUE,FALSE
built,676,TRUE,TRUE,FALSE
efforts,678,TRUE,TRUE,FALSE
dollar,679,TRUE,TRUE,FALSE
included,681,TRUE,TRUE,FALSE
radio,682,TRUE,TRUE,FALSE
live,683,TRUE,TRUE,FALSE
form,684,TRUE,TRUE,FALSE
increase,687,TRUE,TRUE,FALSE
reports,688,TRUE,TRUE,FALSE
sent,689,TRUE,TRUE,FALSE
fourth,690,TRUE,TRUE,FALSE
king,692,TRUE,TRUE,FALSE
tax,694,TRUE,TRUE,FALSE
playing,698,TRUE,TRUE,FALSE
title,699,TRUE,TRUE,FALSE
middle,700,TRUE,TRUE,FALSE
meet,701,TRUE,TRUE,FALSE
global,702,TRUE,TRUE,FALSE
wife,703,TRUE,TRUE,FALSE
position,705,TRUE,TRUE,FALSE
located,706,TRUE,TRUE,FALSE
clear,707,TRUE,TRUE,FALSE
result,713,TRUE,TRUE,FALSE
release,714,TRUE,TRUE,FALSE
violence,715,TRUE,TRUE,FALSE
goal,716,TRUE,TRUE,FALSE
project,717,TRUE,TRUE,FALSE
closed,718,TRUE,TRUE,FALSE
border,719,TRUE,TRUE,FALSE
body,720,TRUE,TRUE,FALSE
crisis,722,TRUE,TRUE,FALSE
division,723,TRUE,TRUE,FALSE
served,725,TRUE,TRUE,FALSE
tour,726,TRUE,TRUE,FALSE
hospital,727,TRUE,TRUE,FALSE
test,729,TRUE,TRUE,FALSE
technology,733,TRUE,TRUE,FALSE
believe,734,TRUE,TRUE,FALSE
organization,735,TRUE,TRUE,FALSE
published,736,TRUE,TRUE,FALSE
weapons,737,TRUE,TRUE,FALSE
agreed,738,TRUE,TRUE,FALSE
wanted,742,TRUE,TRUE,FALSE
republican,743,TRUE,TRUE,FALSE
act,744,TRUE,TRUE,FALSE
course,747,TRUE,TRUE,FALSE
problem,748,TRUE,TRUE,FALSE
senate,749,TRUE,TRUE,FALSE
medical,750,TRUE,TRUE,FALSE
done,752,TRUE,TRUE,FALSE
reached,753,TRUE,TRUE,FALSE
star,754,TRUE,TRUE,FALSE
continued,755,TRUE,TRUE,FALSE
investors,756,TRUE,TRUE,FALSE
living,757,TRUE,TRUE,FALSE
care,758,TRUE,TRUE,FALSE
signed,759,TRUE,TRUE,FALSE
art,761,TRUE,TRUE,FALSE
provide,762,TRUE,TRUE,FALSE
worked,763,TRUE,TRUE,FALSE
presidential,764,TRUE,TRUE,FALSE
gold,765,TRUE,TRUE,FALSE
morning,767,TRUE,TRUE,FALSE
dead,768,TRUE,TRUE,FALSE
opened,769,TRUE,TRUE,FALSE
event,771,TRUE,TRUE,FALSE
previous,772,TRUE,TRUE,FALSE
cost,773,TRUE,TRUE,FALSE
band,776,TRUE,TRUE,FALSE
teams,777,TRUE,TRUE,FALSE
available,780,TRUE,TRUE,FALSE
drug,781,TRUE,TRUE,FALSE
coming,782,TRUE,TRUE,FALSE
investment,784,TRUE,TRUE,FALSE
civil,787,TRUE,TRUE,FALSE
woman,788,TRUE,TRUE,FALSE
training,789,TRUE,TRUE,FALSE
appeared,790,TRUE,TRUE,FALSE
involved,792,TRUE,TRUE,FALSE
similar,794,TRUE,TRUE,FALSE
situation,795,TRUE,TRUE,FALSE
running,798,TRUE,TRUE,FALSE
fighting,799,TRUE,TRUE,FALSE
mark,800,TRUE,TRUE,FALSE
trial,802,TRUE,TRUE,FALSE
hold,803,TRUE,TRUE,FALSE
thought,805,TRUE,TRUE,FALSE
study,807,TRUE,TRUE,FALSE
fall,808,TRUE,TRUE,FALSE
mother,809,TRUE,TRUE,FALSE
met,810,TRUE,TRUE,FALSE
relations,811,TRUE,TRUE,FALSE
song,814,TRUE,TRUE,FALSE
popular,815,TRUE,TRUE,FALSE
base,816,TRUE,TRUE,FALSE
ground,818,TRUE,TRUE,FALSE
markets,819,TRUE,TRUE,FALSE
newspaper,821,TRUE,TRUE,FALSE
staff,822,TRUE,TRUE,FALSE
saw,823,TRUE,TRUE,FALSE
hand,824,TRUE,TRUE,FALSE
hope,825,TRUE,TRUE,FALSE
operations,826,TRUE,TRUE,FALSE
pressure,827,TRUE,TRUE,FALSE
eastern,829,TRUE,TRUE,FALSE
legal,831,TRUE,TRUE,FALSE
budget,833,TRUE,TRUE,FALSE
returned,834,TRUE,TRUE,FALSE
considered,835,TRUE,TRUE,FALSE
love,836,TRUE,TRUE,FALSE
wrote,837,TRUE,TRUE,FALSE
stop,838,TRUE,TRUE,FALSE
fight,839,TRUE,TRUE,FALSE
charges,841,TRUE,TRUE,FALSE
aid,843,TRUE,TRUE,FALSE
ended,844,TRUE,TRUE,FALSE
management,845,TRUE,TRUE,FALSE
cases,847,TRUE,TRUE,FALSE
decided,848,TRUE,TRUE,FALSE
failed,849,TRUE,TRUE,FALSE
network,850,TRUE,TRUE,FALSE
works,851,TRUE,TRUE,FALSE
gas,852,TRUE,TRUE,FALSE
turned,853,TRUE,TRUE,FALSE
fact,854,TRUE,TRUE,FALSE
vice,855,TRUE,TRUE,FALSE
trading,858,TRUE,TRUE,FALSE
reporters,860,TRUE,TRUE,FALSE
common,862,TRUE,TRUE,FALSE
looking,863,TRUE,TRUE,FALSE
space,864,TRUE,TRUE,FALSE
rates,865,TRUE,TRUE,FALSE
manager,866,TRUE,TRUE,FALSE
loss,867,TRUE,TRUE,FALSE
justice,869,TRUE,TRUE,FALSE
thousands,870,TRUE,TRUE,FALSE
fund,873,TRUE,TRUE,FALSE
thing,874,TRUE,TRUE,FALSE
republic,875,TRUE,TRUE,FALSE
opening,876,TRUE,TRUE,FALSE
accused,877,TRUE,TRUE,FALSE
winning,878,TRUE,TRUE,FALSE
scored,879,TRUE,TRUE,FALSE
championship,880,TRUE,TRUE,FALSE
example,881,TRUE,TRUE,FALSE
getting,882,TRUE,TRUE,FALSE
biggest,883,TRUE,TRUE,FALSE
performance,884,TRUE,TRUE,FALSE
sports,885,TRUE,TRUE,FALSE
let,887,TRUE,TRUE,FALSE
allowed,888,TRUE,TRUE,FALSE
schools,889,TRUE,TRUE,FALSE
means,890,TRUE,TRUE,FALSE
turn,891,TRUE,TRUE,FALSE
leave,892,TRUE,TRUE,FALSE
personal,895,TRUE,TRUE,FALSE
stocks,896,TRUE,TRUE,FALSE
showed,897,TRUE,TRUE,FALSE
light,898,TRUE,TRUE,FALSE
arrested,899,TRUE,TRUE,FALSE
person,900,TRUE,TRUE,FALSE
offer,902,TRUE,TRUE,FALSE
majority,903,TRUE,TRUE,FALSE
battle,904,TRUE,TRUE,FALSE
class,906,TRUE,TRUE,FALSE
evidence,907,TRUE,TRUE,FALSE
makes,908,TRUE,TRUE,FALSE
society,909,TRUE,TRUE,FALSE
products,910,TRUE,TRUE,FALSE
regional,911,TRUE,TRUE,FALSE
needed,912,TRUE,TRUE,FALSE
stage,913,TRUE,TRUE,FALSE
am,914,TRUE,TRUE,FALSE
doing,915,TRUE,TRUE,FALSE
families,916,TRUE,TRUE,FALSE
construction,917,TRUE,TRUE,FALSE
various,918,TRUE,TRUE,FALSE
sold,920,TRUE,TRUE,FALSE
independent,921,TRUE,TRUE,FALSE
kind,922,TRUE,TRUE,FALSE
airport,923,TRUE,TRUE,FALSE
judge,925,TRUE,TRUE,FALSE
movement,927,TRUE,TRUE,FALSE
room,928,TRUE,TRUE,FALSE
followed,929,TRUE,TRUE,FALSE
original,930,TRUE,TRUE,FALSE
data,934,TRUE,TRUE,FALSE
comes,935,TRUE,TRUE,FALSE
parties,936,TRUE,TRUE,FALSE
nothing,937,TRUE,TRUE,FALSE
sea,938,TRUE,TRUE,FALSE
bring,939,TRUE,TRUE,FALSE
annual,941,TRUE,TRUE,FALSE
officer,942,TRUE,TRUE,FALSE
present,944,TRUE,TRUE,FALSE
remain,945,TRUE,TRUE,FALSE
remains,949,TRUE,TRUE,FALSE
allow,950,TRUE,TRUE,FALSE
computer,952,TRUE,TRUE,FALSE
contract,954,TRUE,TRUE,FALSE
coast,955,TRUE,TRUE,FALSE
created,956,TRUE,TRUE,FALSE
demand,957,TRUE,TRUE,FALSE
operation,958,TRUE,TRUE,FALSE
events,959,TRUE,TRUE,FALSE
beat,961,TRUE,TRUE,FALSE
analysts,962,TRUE,TRUE,FALSE
interview,963,TRUE,TRUE,FALSE
helped,964,TRUE,TRUE,FALSE
child,965,TRUE,TRUE,FALSE
spent,967,TRUE,TRUE,FALSE
effort,969,TRUE,TRUE,FALSE
cooperation,970,TRUE,TRUE,FALSE
shows,971,TRUE,TRUE,FALSE
calls,972,TRUE,TRUE,FALSE
investigation,973,TRUE,TRUE,FALSE
lives,974,TRUE,TRUE,FALSE
video,975,TRUE,TRUE,FALSE
runs,977,TRUE,TRUE,FALSE
tried,978,TRUE,TRUE,FALSE
bad,979,TRUE,TRUE,FALSE
described,980,TRUE,TRUE,FALSE
written,983,TRUE,TRUE,FALSE
established,985,TRUE,TRUE,FALSE
mission,986,TRUE,TRUE,FALSE
associated,987,TRUE,TRUE,FALSE
buy,988,TRUE,TRUE,FALSE
growing,989,TRUE,TRUE,FALSE
green,990,TRUE,TRUE,FALSE
competition,992,TRUE,TRUE,FALSE
poor,993,TRUE,TRUE,FALSE
latest,994,TRUE,TRUE,FALSE
question,996,TRUE,TRUE,FALSE
prison,998,TRUE,TRUE,FALSE
feel,999,TRUE,TRUE,FALSE
attention,1000,TRUE,TRUE,FALSE
firm,1002,TRUE,TRUE,FALSE
injured,1003,TRUE,TRUE,FALSE
governor,1005,TRUE,TRUE,FALSE
movie,1006,TRUE,TRUE,FALSE
range,1007,TRUE,TRUE,FALSE
cross,1008,TRUE,TRUE,FALSE
track,1009,TRUE,TRUE,FALSE
programs,1010,TRUE,TRUE,FALSE
forced,1012,TRUE,TRUE,FALSE
includes,1013,TRUE,TRUE,FALSE
difficult,1014,TRUE,TRUE,FALSE
produced,1015,TRUE,TRUE,FALSE
wall,1016,TRUE,TRUE,FALSE
rebels,1017,TRUE,TRUE,FALSE
income,1018,TRUE,TRUE,FALSE
chance,1020,TRUE,TRUE,FALSE
elected,1021,TRUE,TRUE,FALSE
reach,1023,TRUE,TRUE,FALSE
adding,1024,TRUE,TRUE,FALSE
species,1025,TRUE,TRUE,FALSE
wants,1026,TRUE,TRUE,FALSE
finished,1027,TRUE,TRUE,FALSE
rise,1028,TRUE,TRUE,FALSE
killing,1029,TRUE,TRUE,FALSE
joined,1031,TRUE,TRUE,FALSE
language,1033,TRUE,TRUE,FALSE
rest,1034,TRUE,TRUE,FALSE
serious,1035,TRUE,TRUE,FALSE
tournament,1037,TRUE,TRUE,FALSE
officers,1038,TRUE,TRUE,FALSE
scheduled,1040,TRUE,TRUE,FALSE
increased,1042,TRUE,TRUE,FALSE
brown,1043,TRUE,TRUE,FALSE
remained,1044,TRUE,TRUE,FALSE
parts,1045,TRUE,TRUE,FALSE
success,1046,TRUE,TRUE,FALSE
changes,1047,TRUE,TRUE,FALSE
residents,1049,TRUE,TRUE,FALSE
net,1051,TRUE,TRUE,FALSE
sides,1052,TRUE,TRUE,FALSE
jobs,1053,TRUE,TRUE,FALSE
hall,1054,TRUE,TRUE,FALSE
believed,1055,TRUE,TRUE,FALSE
deputy,1057,TRUE,TRUE,FALSE
records,1058,TRUE,TRUE,FALSE
heart,1059,TRUE,TRUE,FALSE
champion,1060,TRUE,TRUE,FALSE
award,1061,TRUE,TRUE,FALSE
planned,1062,TRUE,TRUE,FALSE
version,1063,TRUE,TRUE,FALSE
grand,1064,TRUE,TRUE,FALSE
institute,1065,TRUE,TRUE,FALSE
step,1066,TRUE,TRUE,FALSE
democrats,1067,TRUE,TRUE,FALSE
rule,1068,TRUE,TRUE,FALSE
labor,1069,TRUE,TRUE,FALSE
summit,1071,TRUE,TRUE,FALSE
addition,1073,TRUE,TRUE,FALSE
raised,1074,TRUE,TRUE,FALSE
needs,1076,TRUE,TRUE,FALSE
talk,1078,TRUE,TRUE,FALSE
longer,1079,TRUE,TRUE,FALSE
terms,1080,TRUE,TRUE,FALSE
rules,1081,TRUE,TRUE,FALSE
ruling,1082,TRUE,TRUE,FALSE
joint,1083,TRUE,TRUE,FALSE
ball,1084,TRUE,TRUE,FALSE
beginning,1085,TRUE,TRUE,FALSE
sure,1086,TRUE,TRUE,FALSE
stay,1088,TRUE,TRUE,FALSE
safety,1089,TRUE,TRUE,FALSE
worth,1090,TRUE,TRUE,FALSE
